Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Fri Dec 17 14:19:38 UTC 2021,-103,-14,-69,0,0,0,4986822200,9.43536117260974
Fri Dec 17 14:19:41 UTC 2021,-102,-16,-65,0,0,0,4990690290,10.517553445371
Fri Dec 17 14:19:44 UTC 2021,-103,-18,-68,0,0,0,4993540984,7.65251434193449
Fri Dec 17 14:19:47 UTC 2021,-102,-15,-65,0,0,0,4996944746,9.2384854943996
Fri Dec 17 14:19:50 UTC 2021,-102,-18,-63,0,0,0,5000233643,8.96099372549554
Fri Dec 17 14:19:53 UTC 2021,-103,-17,-70,0,0,0,5003169815,7.96655271370736
Fri Dec 17 14:19:56 UTC 2021,-102,-16,-65,0,0,0,5007150001,10.6593368350281
Fri Dec 17 14:19:59 UTC 2021,-104,-17,-64,0,0,0,5011207247,11.064327313504
Fri Dec 17 14:20:02 UTC 2021,-106,-20,-65,0,0,0,5015494523,11.5642368965751
Fri Dec 17 14:20:05 UTC 2021,-102,-15,-65,-105,-20,-75,5020594134,13.850806051139
Fri Dec 17 14:20:08 UTC 2021,-104,-16,-68,-100,-14,-85,5025013234,11.6106005782992
Fri Dec 17 14:20:11 UTC 2021,-103,-14,-68,-99,-15,-84,5030016606,13.1530989029306
Fri Dec 17 14:20:14 UTC 2021,-99,-16,-66,-140,-20,-120,5034958612,13.4511769638139
Fri Dec 17 14:20:17 UTC 2021,-98,-13,-65,0,0,0,5037625052,7.16107394824257
Fri Dec 17 14:20:20 UTC 2021,-98,-12,-66,0,0,0,5043396846,15.6070313660754
Fri Dec 17 14:20:23 UTC 2021,-96,-12,-60,-140,-20,-120,5051468122,21.6156297354146
Fri Dec 17 14:20:25 UTC 2021,-98,-12,-65,-98,-12,-86,5057927550,17.4970419829866
Fri Dec 17 14:20:29 UTC 2021,-88,-11,-57,-100,-13,-87,5067947828,27.2831339574711
Fri Dec 17 14:20:31 UTC 2021,-91,-11,-58,-140,-20,-120,5076830968,23.2689709118391
Fri Dec 17 14:20:34 UTC 2021,-92,-10,-63,-140,-20,-120,5084816806,21.5956053698439
Fri Dec 17 14:20:37 UTC 2021,-90,-11,-57,-101,-11,-89,5096021846,30.3002710616949
Fri Dec 17 14:20:40 UTC 2021,-91,-11,-60,-100,-11,-89,5107298790,30.3652753324762
Fri Dec 17 14:20:43 UTC 2021,-92,-11,-59,-112,-20,-90,5117754830,28.4541689454342
Fri Dec 17 14:20:46 UTC 2021,-92,-10,-63,-107,-16,-90,5128250079,28.4435167768849
Fri Dec 17 14:20:49 UTC 2021,-91,-10,-61,-102,-12,-90,5135807489,20.3426107845518
